"week","rel.R0"
1,0.771924565594215
2,0.765633935741912
3,0.770011529840759
4,0.766969510451325
5,0.764670136129064
6,0.766243520788854
7,0.772647430903177
8,0.786062652462594
9,0.794798079613035
10,0.814061811948018
11,0.838622084707388
12,0.873786773007736
13,0.907185888035893
14,0.939489866811708
15,0.962792266036677
16,0.984329051433574
17,1.00424291132141
18,1.03334293002573
19,1.05791954209034
20,1.08991296936098
21,1.122507065441
22,1.15354225065274
23,1.18360646878357
24,1.19870039516899
25,1.21201135591413
26,1.21559936651443
27,1.22790931622394
28,1.24526997965013
29,1.25475159662139
30,1.24999877695233
31,1.2371652105571
32,1.21921255800735
33,1.19811010441211
34,1.18043420772979
35,1.1683916034892
36,1.15622945919187
37,1.12948608918483
38,1.10931142152279
39,1.09264444067461
40,1.07400955277105
41,1.0456830725005
42,1.01764422853084
43,0.995140974989114
44,0.976581228988696
45,0.95189267613138
46,0.929581641370056
47,0.893048956122142
48,0.866008969381532
49,0.842390553276136
50,0.820691001248054
51,0.798081575685808
52,0.780371734124111
53,0.771006737897483
