"date","n.v1","n.v2"
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,14389.5,0
2020-12-23,14389.5,0
2020-12-24,14389.5,0
2020-12-25,14389.5,0
2020-12-26,14389.5,0
2020-12-27,14389.5,0
2020-12-28,84029.7142857143,0
2020-12-29,84029.7142857143,0
2020-12-30,84029.7142857143,0
2020-12-31,84029.7142857143,0
2021-01-01,84029.7142857143,0
2021-01-02,84029.7142857143,0
2021-01-03,84029.7142857143,0
2021-01-04,47085.7142857143,3133.28571428571
2021-01-05,47085.7142857143,3133.28571428571
2021-01-06,47085.7142857143,3133.28571428571
2021-01-07,47085.7142857143,3133.28571428571
2021-01-08,47085.7142857143,3133.28571428571
2021-01-09,47085.7142857143,3133.28571428571
2021-01-10,47085.7142857143,3133.28571428571
2021-01-11,53606.5714285714,57356.8571428571
2021-01-12,53606.5714285714,57356.8571428571
2021-01-13,53606.5714285714,57356.8571428571
2021-01-14,53606.5714285714,57356.8571428571
2021-01-15,53606.5714285714,57356.8571428571
2021-01-16,53606.5714285714,57356.8571428571
2021-01-17,53606.5714285714,57356.8571428571
2021-01-18,155013,6979.57142857143
2021-01-19,155013,6979.57142857143
2021-01-20,155013,6979.57142857143
2021-01-21,155013,6979.57142857143
2021-01-22,155013,6979.57142857143
2021-01-23,155013,6979.57142857143
2021-01-24,155013,6979.57142857143
2021-01-25,261464.571428571,1540.28571428571
2021-01-26,261464.571428571,1540.28571428571
2021-01-27,261464.571428571,1540.28571428571
2021-01-28,261464.571428571,1540.28571428571
2021-01-29,261464.571428571,1540.28571428571
2021-01-30,261464.571428571,1540.28571428571
2021-01-31,261464.571428571,1540.28571428571
2021-02-01,365978,1917.14285714286
2021-02-02,365978,1917.14285714286
2021-02-03,365978,1917.14285714286
2021-02-04,365978,1917.14285714286
2021-02-05,365978,1917.14285714286
2021-02-06,365978,1917.14285714286
2021-02-07,365978,1917.14285714286
2021-02-08,369241.857142857,2380.42857142857
2021-02-09,369241.857142857,2380.42857142857
2021-02-10,369241.857142857,2380.42857142857
2021-02-11,369241.857142857,2380.42857142857
2021-02-12,369241.857142857,2380.42857142857
2021-02-13,369241.857142857,2380.42857142857
2021-02-14,369241.857142857,2380.42857142857
2021-02-15,422664.142857143,3789.42857142857
2021-02-16,422664.142857143,3789.42857142857
2021-02-17,422664.142857143,3789.42857142857
2021-02-18,422664.142857143,3789.42857142857
2021-02-19,422664.142857143,3789.42857142857
2021-02-20,422664.142857143,3789.42857142857
2021-02-21,422664.142857143,3789.42857142857
2021-02-22,421691,12029.5714285714
2021-02-23,421691,12029.5714285714
2021-02-24,421691,12029.5714285714
2021-02-25,421691,12029.5714285714
2021-02-26,421691,12029.5714285714
2021-02-27,421691,12029.5714285714
2021-02-28,421691,12029.5714285714
2021-03-01,335878.428571429,0
2021-03-02,335878.428571429,0
2021-03-03,335878.428571429,0
2021-03-04,335878.428571429,0
2021-03-05,335878.428571429,0
2021-03-06,335878.428571429,0
2021-03-07,335878.428571429,0
