"date","case.truth","case","death","mob","relR0","wt.suscept","wt.Rtx","newitot","Etot","Itot","S1","S2","newItot1","newItot2","E1","E2","I1","I2"
2020-09-13,74.7286645233792,62,4.54496480987134,0.651214285714286,"sa",774749.042331119,2.275,459.5,255.5,234,720895.208333334,943968.658333334,342.5,109,191.5,68,172,56
2020-09-20,97.6509569323162,91,4.10591763828874,0.615,"sa",788691.53326643,2.275,560.5,309.5,285.5,722440.541666668,944134.158333334,393,167.5,207,99,197.5,86
2020-09-27,121.044683548731,91,4.46925011369402,0.705964285714286,"sa",803923.532603289,2.275,779,458.5,396,723672.458333334,944112.575000001,490,280.5,264,180,243.5,143
2020-10-04,178.435400679646,185,5.81426664171601,0.8195,"sa",822899.63469454,2.275,1249,825.5,641.5,724309.958333334,943649.375925926,667.5,545,401,386,349.5,285
2020-10-11,298.505028388046,339,8.6216390942229,0.838619047619047,"sa",839114.769205652,2.275,2164.5,1420.5,1109.5,723883.875000001,942459.233333333,995.5,1110,597,769,504,572
2020-10-18,517.442424481903,522,14.0204841315941,0.844119047619047,"sa",854896.95921095,2.275,3814.5,2522.5,1968,721555.708333334,939559.500000001,1410.5,2221.5,854,1541.5,721,1143
2020-10-25,919.027211883788,908,23.8859883074685,0.866904761904762,"sa",864778.066130545,2.275,6914.5,4517.5,3532,715476.111111113,934138.287037037,2061.5,4437.5,1218,3069,1049.5,2287
2020-11-01,1624.85504191701,1548,40.5897367887025,0.814523809523809,"sa",867701.887681339,2.275,11408.5,7103.5,5786,705231.694444445,922903.725,2729,8032,1506.5,5261,1369,4104.5
2020-11-08,2660.84641705556,2704,67.4618789173455,0.889690476190476,"sa",860909.931296463,2.275,18936,12146.5,9672,684432.833333334,902516.475925926,3514.5,14907,2018,9982,1776.5,7645.5
2020-11-15,4387.42351684714,4437,111.306141343853,0.882357142857143,"sa",837477.889624361,2.275,30677,19043,15500,642733.125,870184.202777777,4370,26020.5,2357.5,16488,2178,13164.5
2020-11-22,6969.52550916238,7016,180.345863547851,0.871095238095238,"sa",796471.426072324,2.275,45779.5,27182.5,22965.5,589976.875,821316.01388889,4851.5,40323,2409,24343,2393.5,20288.5
2020-11-29,10136.2236411389,10013,288.173323190747,0.890214285714285,"sa",737014.488372701,2.275,62610.5,35387.5,31269,520649.208333333,754635.533333334,4648.5,57078,2196.5,32592.5,2288,28565.5
2020-12-06,13399.1805694286,13455,410.712832031595,0.906976190476191,"sa",664581.293372795,2.275,76933,41212.5,38212,440905.324074074,677153.266666666,4041,71896,1865.5,38711,2010.5,35763.5
2020-12-13,15954.1150019556,16029,548.210194801261,0.930547619047619,"sa",586216.903754578,2.275,84378,41557,41766,360950.138888889,595675.624999999,3341,79568.5,1399,39930,1654,39361
2020-12-20,16584.64792139,16463,680.854338917077,0.889690476190476,"sa",521229.077669422,2.275,76424.5,35315,37705.5,294120.38888889,527798.041666666,2158,74608.5,800,34607,1093.5,36778
2020-12-27,14535.8497627005,14713,780.383153559464,0.882880952380953,"sa",474087.042571473,2.275,62509.5,26945,31171,245096.125,478427.244444444,1162.5,61334,391.5,26549,595.5,30482
2021-01-03,11623.2987380241,11727,725.498056441765,0.944952380952381,"sa",439678.886491923,2.275,47742,20625.5,24002,211516.875,442245,531.5,47257.5,159,20413.5,286,23602.5
2021-01-10,8853.22647376273,8740,625.212993513544,1,"sa",414332.89772779,2.275,36177.5,15498,18178.5,184993.62962963,415748.572222223,221.5,35883,63.5,15444.5,127.5,18034
2021-01-17,6644.54809214616,6657,503.294320526217,0.964857142857143,"sa",397949.501584858,2.275,25877.5,10731,12984,172738.796296297,398652.166666666,80.5,25801,26.5,10689.5,48,12946.5
2021-01-24,4662.64040210485,4671,385.040716599714,0.939714285714286,"sa",388578.260901401,2.275,17560.5,7097.5,8892.5,164045.083333333,389007.983333332,33.5,17504,9.5,7091.5,19,8861
2021-01-31,3105.33590851582,3090,287.421431250129,0.810857142857143,"sa",385556.797518545,2.275,10803.5,4042,5473.5,161741.972222222,385816.166666666,12.5,10786.5,3,4040,6.5,5462
2021-02-07,1851.53737337955,1847,199.389325357783,0.682,"sa",386565.99403561,2.275,5817,2060.5,2988.5,164224.111111111,386719.016666666,4,5812,1,2059,2,2985.5
2021-02-14,992.672316407016,968,128.529722249417,0.786761904761905,"sa",388815.973913746,2.275,3263,1256,1698.5,167676.01388889,388883.766666666,1,3262,1,1254.5,1,1697
2021-02-21,566.041184148072,572,77.6441552760002,0.716309523809524,"sa",392300.599999999,2.275,1860.5,682,965,172383.930555556,392300.599999999,0,1860,0,681.5,1,964
