"date","case.truth","case","death","mob","relR0","wt.suscept","wt.Rtx","newitot","Etot","Itot","S1","S2","newItot1","newItot2","E1","E2","I1","I2"
2020-03-01,0.34136303063621,0,0.00109611030692237,1,"sa",999986.111111111,2.275,7,5,4,999986.111111111,999998.166666667,7,0,5,0,4,0
2020-03-08,1.80948391800393,2,0.0223258970879464,0.9,"sa",999968.375,2.275,14,10,7,999968.375,999994.583333333,14,0,10,0,7,0
2020-03-15,3.38091610073078,1,0.0672090538655878,0.9,"sa",999929.388888889,2.275,29.5,19,15,999929.388888889,999987,29.5,0,19,0,15,0
2020-03-22,6.98062297744441,6,0.148790367660621,0.879,"sa",999855.351851852,2.275,55,38,28,999855.351851852,999973.166666667,55,0,38,0,28,0
2020-03-29,13.7563964884494,13,0.305684950149321,0.877714285714286,"sa",999694.805555556,2.275,116.5,87.5,60,999694.805555556,999938.333333333,116.5,0,87.5,0,60,0
2020-04-05,30.6643763524482,32,0.633301652454251,0.920571428571429,"sa",999297.111111111,2.275,279,206.5,143,999297.111111111,999860.833333333,279,0,206.5,0,143,0
2020-04-12,73.1348285284738,76,1.3618687920341,0.957857142857143,"sa",998295.902777778,2.275,686.5,525,357,998295.902777778,999658.416666667,686.5,0,525,0,357,0
2020-04-19,179.429335490072,188,3.25149208601035,0.879428571428571,"sa",996012.208333333,2.275,1611.5,1202.5,836.5,996012.208333333,999220.833333334,1611.5,0,1202.5,0,836.5,0
2020-04-26,425.214438353936,402,7.6004634478316,0.882857142857143,"sa",990564.958333333,2.275,3823,2858,1999,990564.958333333,998137.25,3823,0,2858,0,1999,0
2020-05-03,956.237418716415,925,17.7005261274759,0.673095238095238,"sa",981704.458333333,2.275,7178,4595,3619,981704.458333333,996396.333333334,7178,0,4595,0,3619,0
2020-05-10,1637.37956810806,1606,37.1305307256516,0.570476190476191,"sa",969375.958333333,2.275,10699.5,6295.5,5370,969375.958333333,993976.583333333,10699.5,0,6295.5,0,5370,0
2020-05-17,2363.48983703003,2386,64.8282148213978,0.562023809523809,"sa",951816.625,2.275,15072,8901.5,7644.5,951816.625,990490.75,15072,0,8901.5,0,7644.5,0
2020-05-24,3360.12907176132,3384,99.5671319861748,0.568095238095238,"sa",926432.208333333,2.275,21679.5,12922.5,10972,926432.208333333,985414.75,21679.5,0,12922.5,0,10972,0
2020-05-31,4866.85108746406,4816,146.494731675475,0.583452380952381,"sa",888721.541666667,2.275,31949,19156.5,16200.5,888721.541666667,977894.916666666,31949,0,19156.5,0,16200.5,0
2020-06-07,7194.08620463759,7155,216.06626811715,0.6,"sa",833800.375,2.275,46978,27844,23705.5,833800.375,967032.25,46978,0,27844,0,23705.5,0
2020-06-14,9801.3887806336,9782,308.485037684149,0.366833333333333,"sa",795211.291666667,2.275,46938.5,20527.5,22548.5,795211.291666667,959407.5,46938.5,0,20527.5,0,22548.5,0
2020-06-21,8690.690930446,8621,376.028851410421,0.358333333333333,"sa",765087.958333333,2.275,36137,15692.5,18028.5,765087.958333333,953420.416666667,36137,0,15692.5,0,18028.5,0
2020-06-28,6715.00969963306,6839,385.714813961103,0.368333333333333,"sa",741860.625,2.275,27654,11908.5,13971.5,741860.625,948741.166666667,27654,0,11908.5,0,13971.5,0
2020-07-05,5061.11811811032,5121,342.700355643216,0.37,"sa",724357.375,2.275,21201,9362,10667.5,724357.375,945278,21201,0,9362,0,10667.5,0
2020-07-12,3880.07165483302,3878,281.60388278603,0.270095238095238,"sa",716072.125,2.275,14149,5333,7055,716072.125,943655.666666667,14149,0,5333,0,7055,0
2020-07-19,2446.48628644378,2501,205.702167314754,0.263619047619048,"sa",712208.625,2.275,8340,3140.5,4254.5,712208.625,942865.583333333,8340,0,3140.5,0,4254.5,0
2020-07-26,1433.28980103026,1420,150.916516932838,0.250857142857143,"sa",711109.958333334,2.275,4715,1722,2431.5,711109.958333334,942668.333333334,4715,0,1722,0,2431.5,0
2020-08-02,803.730307874055,866,98.257737283539,0.270285714285714,"sa",711304.291666667,2.275,2679,1017,1407.5,711304.291666667,942718.750000001,2679,0,1017,0,1407.5,0
2020-08-09,467.49928611033,453,57.2001536416726,0.288,"sa",712302.291666667,2.275,1621.5,629,840.5,712302.291666667,942908.083333334,1621.5,0,629,0,840.5,0
2020-08-16,282.453889355858,292,33.1453384018177,0.274285714285714,"sa",713805.375000001,2.275,964,362.5,497,713805.375000001,943202.583333334,964,0,362.5,0,497,0
2020-08-23,171.891722151589,185,19.2213883352929,0.259809523809524,"sa",744193.107224894,2.275,621.5,228,316.5,715575.125000001,943060.741666667,545.5,78.5,197,30,279,37
2020-08-30,105.712575598675,98,11.3662758996095,0.265428571428572,"sa",750115.13389851,2.275,341,129.5,177,717518.291666667,943414.408333334,296.5,50,108,20.5,151,26
2020-09-06,65.0986629798283,71,6.84799415532868,0.622928571428571,"sa",761111.468735056,2.275,341.5,194.5,179.5,719244.375000001,943716.408333334,283.5,65,157,41,145.5,34
