"date","case.truth","case","death","mob","relR0","wt.suscept","wt.Rtx","newitot","Etot","Itot","S1","S2","newItot1","newItot2","E1","E2","I1","I2"
2020-03-01,0.332745648736757,0,0.000924463471963149,1,"sa",999986.486111111,2.275,7,5,4,999986.486111111,999994.166666667,7,0,5,0,4,0
2020-03-08,1.80927910226062,1,0.0209372564809522,0.9,"sa",999965.662037037,2.275,15,11,8,999965.662037037,999983,15,0,11,0,8,0
2020-03-15,3.99998833207111,4,0.0727130611305734,0.9,"sa",999922.635802469,2.275,32,21,16,999922.635802469,999957.75,32,0,21,0,16,0
2020-03-22,7.87219114515027,8,0.170289456553998,0.879,"sa",999836.847222222,2.275,63.5,45,34,999836.847222222,999907.25,63.5,0,45,0,34,0
2020-03-29,16.3766676578797,18,0.346512172263458,0.877714285714286,"sa",999646.981481482,2.275,135.5,96.5,69.5,999646.981481482,999790.583333334,135.5,0,96.5,0,69.5,0
2020-04-05,35.0572226330877,25,0.714955904774116,0.920571428571429,"sa",999215.37037037,2.275,308,223,161,999215.37037037,999539.833333334,308,0,223,0,161,0
2020-04-12,82.818356941917,95,1.56145899230668,0.957857142857143,"sa",998108.666666667,2.275,761,583,397,998108.666666667,998884.666666667,761,0,583,0,397,0
2020-04-19,202.039428514768,187,3.66241148366344,0.879428571428571,"sa",995571.333333333,2.275,1793.5,1308,918.5,995571.333333333,997347,1793.5,0,1308,0,918.5,0
2020-04-26,469.231325847864,448,8.95898371928905,0.882857142857143,"sa",989548.111111111,2.275,4187,3164.5,2192,989548.111111111,993760.833333334,4187,0,3164.5,0,2192,0
2020-05-03,1049.45414969317,1056,21.1973096219432,0.673095238095238,"sa",979854.027777777,2.275,7917,5002.5,3983,979854.027777777,987952.333333334,7917,0,5002.5,0,3983,0
2020-05-10,1793.97609530186,1770,44.1577957013873,0.570476190476191,"sa",966507.194444444,2.275,11618,6860,5843,966507.194444444,979943.083333334,11618,0,6860,0,5843,0
2020-05-17,2578.08373781106,2624,75.6603217508001,0.562023809523809,"sa",947350.527777777,2.275,16517.5,9676.5,8311,947350.527777777,968509.5,16517.5,0,9676.5,0,8311,0
2020-05-24,3665.654251716,3739,113.001601089799,0.568095238095238,"sa",919927.444444444,2.275,23433.5,13939,11788.5,919927.444444444,952175.166666667,23433.5,0,13939,0,11788.5,0
2020-05-31,5246.18133649089,5344,160.136910698932,0.583452380952381,"sa",879527.375,2.275,34197,20420,17287,879527.375,928091.916666667,34197,0,20420,0,17287,0
2020-06-07,7668.48135707116,7654,228.953155024567,0.6,"sa",821975.708333333,2.275,49597.5,29217.5,25021,821975.708333333,893734.166666666,49597.5,0,29217.5,0,25021,0
2020-06-14,10314.375039218,10295,328.458163275322,0.366833333333333,"sa",782272.125,2.275,48953.5,21254,23539,782272.125,870068.25,48953.5,0,21254,0,23539,0
2020-06-21,9031.97845231042,9170,410.545780554567,0.358333333333333,"sa",751758.374999999,2.275,37163,16077.5,18556.5,751758.374999999,852011.166666666,37163,0,16077.5,0,18556.5,0
2020-06-28,6892.15045203379,6920,404.914405248063,0.368333333333333,"sa",728405.194444444,2.275,28141.5,12205.5,14204,728405.194444444,838120.25,28141.5,0,12205.5,0,14204,0
2020-07-05,5222.51544264964,5264,358.757063600105,0.37,"sa",711353.194444444,2.275,21413,9373,10746,711353.194444444,827824.583333333,21413,0,9373,0,10746,0
2020-07-12,3911.78988046421,3849,284.427902283092,0.270095238095238,"sa",703571.527777777,2.275,14032.5,5249,6992.5,703571.527777777,823224.583333333,14032.5,0,5249,0,6992.5,0
2020-07-19,2410.92447132312,2447,216.879512913012,0.263619047619048,"sa",699948.861111111,2.275,8055.5,3052,4152,699948.861111111,821162.666666666,8055.5,0,3052,0,4152,0
2020-07-26,1394.20014213899,1355,155.250448468497,0.250857142857143,"sa",699065.861111111,2.275,4527.5,1637.5,2337.5,699065.861111111,820636.166666667,4527.5,0,1637.5,0,2337.5,0
