"week","temp","spec.hum","rh","dew_point","atmos_pres"
1,22.6048091536574,0.0103771530870226,63.7821711849201,13.7597201280258,1013.55023950314
2,22.1612498813487,0.0104922455422314,65.7058421319989,14.0296431019828,1012.68616097188
3,22.4709250411,0.0105256317613547,64.8952234223677,14.0592055572765,1013.00293742839
4,22.2687558454821,0.0106963820887721,66.5362386480429,14.3989050679386,1013.13758927561
5,22.3717549297492,0.01050262858256,65.0498527453348,14.0588693282672,1013.34518325851
6,22.6343196825929,0.0109634188052978,66.6000813547662,14.7950391230657,1012.99392329549
7,22.1593049001725,0.0107490889637469,66.7941687413859,14.4377125986774,1013.29248567214
8,21.9244575249535,0.0109048247316897,68.6091515908743,14.6993236782038,1013.42242140736
9,21.7371546621914,0.0103193761172004,66.2166013590274,13.7955065163098,1014.06944013557
10,21.6065783886329,0.0103441930898672,66.8478046816965,13.9065646410976,1014.63618014181
11,20.7833787702522,0.0100942766957753,68.3734607278307,13.4880223452647,1014.74092767666
12,20.3890395750236,0.00974692945511058,67.4877134997013,12.8534491013375,1014.77458702959
13,19.8057882222241,0.00948894738286416,67.9832578088131,12.4967916286042,1015.50826155557
14,19.0363153320054,0.00913287942804355,68.7268085436314,12.0135383887592,1016.93720116266
15,18.30959858381,0.00854115059766462,67.3334204211635,10.9150433029814,1016.50283589667
16,17.5696042096499,0.00831055095695079,68.4741607826845,10.5129806526371,1016.68609774712
17,16.7058522083744,0.00772774378325601,67.1979556354208,9.35242921822599,1017.05564617863
18,16.3563281636305,0.00744746654042039,66.4529325577812,8.76845869414784,1017.72370399189
19,15.5844070630032,0.00690823284887875,64.609976334488,7.59961517344418,1018.0276920246
20,15.2676708924492,0.00667899162022316,64.1740041263388,7.11312436556513,1018.19401144665
21,14.3803872215972,0.00621229196978991,62.784233443207,5.96359503570355,1017.88114422943
22,13.4857703025706,0.00578763587003773,61.9447916924525,4.88142949639462,1018.46052391389
23,12.8366861370525,0.00565420501181719,63.0639655454649,4.60092080809874,1019.38602720276
24,12.2456410605858,0.00530106338898533,61.4863204700444,3.58562718357103,1019.68130340008
25,12.1506883494652,0.00534686875885185,62.4368720889205,3.74239964105769,1021.2402185791
26,11.9148075381157,0.00527312028094235,62.6415411910017,3.60704427306914,1021.37794710027
27,12.0357536410909,0.00520230115503102,61.3139195679976,3.39096523462379,1022.22326238913
28,11.7327617128765,0.00501241193426614,60.1868241729439,2.72375515805791,1021.66105901487
29,11.865498143078,0.00481273649972911,57.8128731823971,1.96080901070757,1021.16494352867
30,12.2055792998635,0.00494940122695172,58.2938889990555,2.3762632009488,1020.80439124922
31,13.1396238629703,0.00513918104639931,57.0712792855216,2.86318938375312,1020.60146078306
32,13.276065275621,0.0051494183230611,56.8585301444933,2.81731350408909,1020.70916325816
33,13.77541661318,0.00543842104832703,57.7345850294401,3.66837451883613,1019.8821396806
34,14.6068293423706,0.00574062846181815,57.9318923855484,4.39378838618255,1019.30593335971
35,15.4055714001962,0.00564939111639361,54.9012464967964,3.99952542704708,1018.27217084607
36,15.649744555136,0.00579341811731328,55.827546696933,4.44556777022021,1019.53127807705
37,16.7749054814241,0.00612264084862436,55.4524562695527,5.29405936886771,1018.37077689442
38,17.2070319329544,0.00651664671558792,56.9627957454058,6.29924931532065,1018.51469348807
39,17.446560282909,0.00645336775166637,55.5807293442636,6.14706196733836,1017.94191091204
40,17.7168219121637,0.00670431877561174,57.0132384896946,6.68964453107941,1018.10839006358
41,18.5245777159818,0.0072456170945097,58.6241979636601,8.0302416884059,1017.88045870714
42,19.1725641196314,0.00760565153872766,58.8577999331778,8.76829333597482,1017.11982108693
43,19.5016911470475,0.00777297152960397,58.9515456531068,9.11744207871982,1017.04484739294
44,19.7201873276863,0.007955015380416,58.9194047695828,9.38637115073355,1015.3875053021
45,19.8513298087868,0.00802869047180961,59.1779256711768,9.53377188161593,1015.43386629167
46,20.0785110033566,0.00856142687466,61.9250952874723,10.6310847478844,1015.02254398665
47,20.324133888135,0.00863387898363207,61.344791316193,10.7558495442112,1015.21713399838
48,21.0890683582785,0.00904031940293396,61.4253545849259,11.4727094925318,1014.8143183298
49,21.1484949615217,0.0092821463406086,62.8145651853318,12.0278675105623,1014.57538485203
50,21.1530663386471,0.00954699831743008,64.179332049277,12.4744877280643,1013.78640272576
51,22.1150842613404,0.0097549190129849,61.9282031437258,12.7461610974903,1013.38253449963
52,22.2509788581477,0.0102988832850131,64.1117842305725,13.6407991849351,1013.33381718709
53,22.0565704251912,0.0103401632482873,64.9489555773281,13.6673081053648,1012.66680976481
