"date","case.truth","case","death","mob","relR0","wt.suscept","wt.Rtx","newitot","Etot","Itot","S1","S2","newItot1","newItot2","E1","E2","I1","I2"
2020-03-01,0.31609307556892,0,0.0010365140654085,1,"sa",999986.208333333,2.275,6.5,6,4,999986.208333333,999998.166666667,6.5,0,6,0,4,0
2020-03-08,1.77548638211124,0,0.0207484699530612,0.9,"sa",999968.25,2.275,14,10.5,7,999968.25,999994.75,14,0,10.5,0,7,0
2020-03-15,3.46382884380584,10,0.0684678238238682,0.9,"sa",999926.138888888,2.275,28.5,20.5,14.5,999926.138888888,999987.666666666,28.5,0,20.5,0,14.5,0
2020-03-22,7.53939349378747,6,0.152666204808991,0.879,"sa",999838.413194445,2.275,62,43.5,31,999838.413194445,999971,62,0,43.5,0,31,0
2020-03-29,16.0578953212772,12,0.330956883771427,0.877714285714286,"sa",999660.645833333,2.275,127,89,66,999660.645833333,999937.166666667,127,0,89,0,66,0
2020-04-05,32.3025988738392,29,0.685208235233086,0.920571428571429,"sa",999277,2.275,288.5,207.5,148.5,999277,999856.25,288.5,0,207.5,0,148.5,0
2020-04-12,76.0852837105191,83,1.51815025514044,0.957857142857143,"sa",998254.958333333,2.275,682,524.5,359,998254.958333333,999652.333333334,682,0,524.5,0,359,0
2020-04-19,180.979772153586,183,3.59460683059368,0.879428571428571,"sa",996026.208333333,2.275,1598,1186.5,828,996026.208333333,999202.25,1598,0,1186.5,0,828,0
2020-04-26,419.022419119356,466,8.49424934196011,0.882857142857143,"sa",990581.277777778,2.275,3797.5,2858,1993,990581.277777778,998127.75,3797.5,0,2858,0,1993,0
2020-05-03,952.895705895136,959,19.8996669609326,0.673095238095238,"sa",981827.527777778,2.275,7139.5,4527,3591.5,981827.527777778,996395.5,7139.5,0,4527,0,3591.5,0
2020-05-10,1625.50043543535,1587,40.9772555048994,0.570476190476191,"sa",969711.111111111,2.275,10542,6213,5289.5,969711.111111111,993996.583333333,10542,0,6213,0,5289.5,0
2020-05-17,2334.90531025554,2223,70.0721511104081,0.562023809523809,"sa",952409.444444444,2.275,14914,8786,7497,952409.444444444,990512.333333333,14914,0,8786,0,7497,0
2020-05-24,3316.38905907347,3258,105.394236282835,0.568095238095238,"sa",927355.694444444,2.275,21360,12772,10805.5,927355.694444444,985515,21360,0,12772,0,10805.5,0
2020-05-31,4808.01856566166,4771,150.818206120952,0.583452380952381,"sa",890127.777777778,2.275,31568,18907,15927.5,890127.777777778,978139.333333333,31568,0,18907,0,15927.5,0
2020-06-07,7097.35448599872,7105,216.785271278369,0.6,"sa",835947.611111111,2.275,46332,27476,23380.5,835947.611111111,967247.5,46332,0,27476,0,23380.5,0
2020-06-14,9656.70754006428,9596,310.212223596237,0.366833333333333,"sa",797922.694444444,2.275,46261,20291,22315,797922.694444444,959727.416666667,46261,0,20291,0,22315,0
2020-06-21,8585.51950220601,8822,380.967768869973,0.358333333333333,"sa",768019.277777778,2.275,35716.5,15641,17882.5,768019.277777778,953831.5,35716.5,0,15641,0,17882.5,0
2020-06-28,6680.25777427617,6688,386.038244658483,0.368333333333333,"sa",744846.777777778,2.275,27711.5,12137,13938.5,744846.777777778,949224.666666667,27711.5,0,12137,0,13938.5,0
2020-07-05,5185.55617001449,5268,335.626912719642,0.37,"sa",727063.361111111,2.275,21420.5,9463.5,10764,727063.361111111,945719.583333333,21420.5,0,9463.5,0,10764,0
2020-07-12,3894.75870660483,3883,276.777765177134,0.270095238095238,"sa",718707.611111111,2.275,14177.5,5345.5,7046,718707.611111111,944097.583333333,14177.5,0,5345.5,0,7046,0
2020-07-19,2445.65184070819,2442,215.559841853418,0.263619047619048,"sa",714646.777777778,2.275,8214.5,3127.5,4243.5,714646.777777778,943305.25,8214.5,0,3127.5,0,4243.5,0
2020-07-26,1426.84119675493,1440,152.685990861919,0.250857142857143,"sa",713453.777777778,2.275,4722.5,1729.5,2403,713453.777777778,943054.333333333,4722.5,0,1729.5,0,2403,0
2020-08-02,810.001770654799,800,94.8751800213178,0.270285714285714,"sa",713579.444444444,2.275,2756,1036.5,1403.5,713579.444444444,943097.833333333,2756,0,1036.5,0,1403.5,0
2020-08-09,480.376297764443,498,56.6393577970484,0.288,"sa",714520.694444444,2.275,1648,637,841,714520.694444444,943285.083333333,1648,0,637,0,841,0
2020-08-16,287.474410069852,285,33.6718786095875,0.274285714285714,"sa",715996.861111111,2.275,978,363.5,502,715996.861111111,943561.333333333,978,0,363.5,0,502,0
2020-08-23,174.214692712117,167,19.5027950605185,0.259809523809524,"sa",752107.257568688,2.44836702954899,643.5,243.5,327,717695.36111111,943479.538888889,545,98,195,48,278,48
2020-08-30,111.23679533114,102,11.2390400154898,0.265428571428572,"sa",773705.848651701,2.54961880559085,394,155,208,719575.944444444,943787.705555555,298.5,95,112,48,159.5,47
2020-09-06,77.4116997660909,84,7.22298230781434,0.622928571428571,"sa",813252.817453798,2.74564938398357,488,322.5,258,721073.527777777,943859.205555556,285.5,201.5,163.5,165.5,152.5,109.5
2020-09-13,120.547183147842,100,5.14890329701345,0.651214285714286,"sa",859765.857453995,2.98265854297694,950,681.5,497,722022.111111111,943433.288888889,360.5,593.5,204.5,483.5,183,317
