"date","case.truth.sce1","case.sce1","death.sce1","mob.sce1","relR0.sce1","wt.suscept.sce1","wt.Rtx.sce1","newitot.sce1","Etot.sce1","Itot.sce1","S1.sce1","S2.sce1","newItot1.sce1","newItot2.sce1","E1.sce1","E2.sce1","I1.sce1","I2.sce1","case.truth.sce2","case.sce2","death.sce2","mob.sce2","relR0.sce2","wt.suscept.sce2","wt.Rtx.sce2","newitot.sce2","Etot.sce2","Itot.sce2","S1.sce2","S2.sce2","newItot1.sce2","newItot2.sce2","E1.sce2","E2.sce2","I1.sce2","I2.sce2","case.truth.sce3","case.sce3","death.sce3","mob.sce3","relR0.sce3","wt.suscept.sce3","wt.Rtx.sce3","newitot.sce3","Etot.sce3","Itot.sce3","S1.sce3","S2.sce3","newItot1.sce3","newItot2.sce3","E1.sce3","E2.sce3","I1.sce3","I2.sce3","case.truth.sce4","case.sce4","death.sce4","mob.sce4","relR0.sce4","wt.suscept.sce4","wt.Rtx.sce4","newitot.sce4","Etot.sce4","Itot.sce4","S1.sce4","S2.sce4","newItot1.sce4","newItot2.sce4","E1.sce4","E2.sce4","I1.sce4","I2.sce4","case.truth.sce5","case.sce5","death.sce5","mob.sce5","relR0.sce5","wt.suscept.sce5","wt.Rtx.sce5","newitot.sce5","Etot.sce5","Itot.sce5","S1.sce5","S2.sce5","newItot1.sce5","newItot2.sce5","E1.sce5","E2.sce5","I1.sce5","I2.sce5"
"2020-03-01",0.156536890097412,0,0.000974388631283,1,"sa",999986.805555556,2.275,7,5,4,999986.805555556,999998.166666667,7,0,5,0,4,0,0.157277955696181,0,0.00090508992181957,1,"sa",999986.208333333,2.275,7,6,4,999986.208333333,999990.833333333,7,0,6,0,4,0,0.155899612054632,0,0.00100039157053332,1,"sa",999986.902777778,2.275,7,5,4,999986.902777778,999998,7,0,5,0,4,0,0.168836284417036,0,0.00112790264540957,1,"sa",999986.208333333,2.275,7,6,4,999986.208333333,999994.166666667,7,0,6,0,4,0,0.183680435286342,1,0.00104080454068958,1,"uk",999979.560185185,2.275,10,9,6,999979.560185185,999984.166666667,10,0,9,0,6,0
"2020-03-08",0.945876043078429,0,0.0202508837881568,0.9,"sa",999965.953703703,2.275,16,11,8,999965.953703703,999994.166666667,16,0,11,0,8,0,0.894351315218016,0,0.0186434384810686,0.9,"sa",999966.277777778,2.275,15,10,7.5,999966.277777778,999973.166666666,15,0,10,0,7.5,0,0.853520107143356,2,0.0193152244313345,0.9,"sa",999968.447916667,2.275,14,10.5,7,999968.447916667,999994.083333333,14,0,10.5,0,7,0,0.939285743867191,0,0.0205776190502434,0.9,"sa",999965.736111111,2.275,15,10,7.5,999965.736111111,999983.166666667,15,0,10,0,7.5,0,1.52466469700248,1,0.0274984869665794,1,"uk",999920.777777778,2.275,37,32,20,999920.777777778,999923.416666667,37,0,32,0,20,0
"2020-03-15",2.01479061242935,0,0.0696214881824188,0.9,"sa",999922.083333334,2.275,33.5,23,16,999922.083333334,999985.666666667,33.5,0,23,0,16,0,1.83832908692725,2,0.062980241786067,0.9,"sa",999925.475308642,2.275,29,20.5,15,999925.475308642,999934.25,29,0,20.5,0,15,0,1.83869808341176,3,0.062197433314729,0.9,"sa",999927.625,2.275,29,20.5,15,999927.625,999985.833333334,29,0,20.5,0,15,0,1.90295605275079,0,0.0641494717936214,0.9,"sa",999923.402777778,2.275,31,21,16,999923.402777778,999958.833333333,31,0,21,0,16,0,5.61419030385704,3,0.141701770190474,1,"uk",999723.583333333,2.275,123,102.5,65.5,999723.583333333,999731.75,123,0,102.5,0,65.5,0
"2020-03-22",4.05871940800053,5,0.165708465113193,0.879,"sa",999830.638888889,2.275,66.5,47,35.5,999830.638888889,999967.083333333,66.5,0,47,0,35.5,0,3.71354096430904,4,0.142186592679686,0.879,"sa",999844.819444444,2.275,59,44,31.5,999844.819444444,999849.5,59,0,44,0,31.5,0,3.61996107599427,3,0.143393724482574,0.879,"sa",999851.791666666,2.275,58,41,29.5,999851.791666666,999969.833333333,58,0,41,0,29.5,0,3.9168994438428,7,0.15136368939204,0.879,"sa",999840.152777778,2.275,62,43,31.5,999840.152777778,999909.333333333,62,0,43,0,31.5,0,17.3461787793195,12,0.512302343478135,0.91,"uk",999195.013888889,2.275,356,282,188.5,999195.013888889,999211.333333333,356,0,282,0,188.5,0
"2020-03-29",8.6285169041752,8,0.337154513783434,0.877714285714286,"sa",999638.305555556,2.275,139.5,98,72,999638.305555556,999925.916666667,139.5,0,98,0,72,0,7.39551264936263,5,0.30205774932767,0.877714285714286,"sa",999666.583333333,2.275,127,91,65,999666.583333333,999677.166666667,127,0,91,0,65,0,7.2569444018142,9,0.304895802792044,0.877714285714286,"sa",999679.263888889,2.275,123,88.5,64,999679.263888889,999936.25,123,0,88.5,0,64,0,7.7420505319357,8,0.324894351898162,0.877714285714286,"sa",999657.055555556,2.275,130.5,95,68.5,999657.055555556,999803.5,130.5,0,95,0,68.5,0,48.6182185760146,37,1.57752172968066,0.863142857142857,"uk",997875.136574074,2.275,914.5,700,476.5,997875.136574074,997890.5,914.5,0,700,0,476.5,0
"2020-04-05",17.8604475106912,17,0.691680204307164,0.920571428571429,"sa",999177.972222222,2.275,319.5,233,165.5,999177.972222222,999834.083333333,319.5,0,233,0,165.5,0,16.5137219904926,13,0.632817071423487,0.920571428571429,"sa",999252.333333333,2.275,293.5,218.5,154,999252.333333333,999253,293.5,0,218.5,0,154,0,15.8634297174268,14,0.630641977196799,0.920571428571429,"sa",999278.347222222,2.275,279,208,144,999278.347222222,999855.25,279,0,208,0,144,0,17.0823768469406,12,0.696597888711215,0.920571428571429,"sa",999235.097222222,2.275,295,225.5,155,999235.097222222,999552.25,295,0,225.5,0,155,0,124.570919668751,113,4.22309928480083,0.897857142857143,"uk",994330.212962964,2.275,2382.5,1862,1270.5,994330.212962964,994309,2382.5,0,1862,0,1270.5,0
"2020-04-12",41.7937602739828,47,1.48775193246611,0.957857142857143,"sa",998022.666666667,2.275,780,603.5,406,998022.666666667,999604.5,780,0,603.5,0,406,0,38.6251267329438,32,1.45394534282806,0.957857142857143,"sa",998182.541666667,2.275,731,555,387.5,998182.541666667,998173,731,0,555,0,387.5,0,36.7526608082481,30,1.34535823280573,0.957857142857143,"sa",998244.319444445,2.275,688,532,361.5,998244.319444445,999653.833333333,688,0,532,0,361.5,0,39.6921784627021,44,1.53518483633544,0.957857142857143,"sa",998157.930555555,2.275,732.5,574,384,998157.930555555,998919.25,732.5,0,574,0,384,0,327.575706449012,318,11.0341878960756,0.916714285714286,"uk",984929.736111111,2.275,6337.5,4944,3329.5,984929.736111111,984963.25,6337.5,0,4944,0,3329.5,0
"2020-04-19",103.738262137677,105,3.46840816483832,0.879428571428571,"sa",995391.402777778,2.275,1861,1364,962,995391.402777778,999075.916666667,1861,0,1364,0,962,0,96.9772573341429,103,3.48081179424699,0.879428571428571,"sa",995764.986111111,2.275,1723,1267.5,900.5,995764.986111111,995755.833333333,1723,0,1267.5,0,900.5,0,91.2786036849229,86,3.20196921597674,0.879428571428571,"sa",995952.097222222,2.275,1634.5,1197,843.5,995952.097222222,999206.833333333,1634.5,0,1197,0,843.5,0,97.2332674641173,93,3.65621581792752,0.879428571428571,"sa",995720.50462963,2.275,1755,1281.5,909,995720.50462963,997463.75,1755,0,1281.5,0,909,0,853.078716553923,835,29.0826725844273,0.886285714285714,"uk",962765.680555556,2.275,15553.5,11642,8098.5,962765.680555556,962867,15553.5,0,11642,0,8098.5,0
"2020-04-26",243.983536100851,251,8.28132820167933,0.882857142857143,"sa",989114.374999999,2.275,4405,3270,2286,989114.374999999,997813.416666667,4405,0,3270,0,2286,0,226.898394484967,199,8.31573953484834,0.882857142857143,"sa",989915.628086419,2.275,4080,3047,2123.5,989915.628086419,989875.333333333,4080,0,3047,0,2123.5,0,214.29390506655,226,7.62924957429292,0.882857142857143,"sa",990430.263888889,2.275,3864,2882.5,2003,990430.263888889,998113.083333333,3864,0,2882.5,0,2003,0,230.589398157247,236,8.68228049389672,0.882857142857143,"sa",989797.921296297,2.275,4156.5,3098,2167,989797.921296297,993902.5,4156.5,0,3098,0,2167,0,1945.9579915832,1940,72.9523118863151,0.729857142857143,"uk",926797.763888889,2.275,29294.5,18520,14745.5,926797.763888889,926997.25,29294.5,0,18520,0,14745.5,0
"2020-05-03",550.619034280366,585,19.6573722030288,0.673095238095238,"sa",979012.013888888,2.275,8209.5,5187.5,4124.5,979012.013888888,995814.916666667,8209.5,0,5187.5,0,4124.5,0,507.018236966958,540,19.25752789977,0.673095238095238,"sa",980574.544753086,2.275,7613,4871,3846.5,980574.544753086,980520.666666667,7613,0,4871,0,3846.5,0,483.225367069357,499,17.9668518081164,0.673095238095238,"sa",981513.930555556,2.275,7260,4608.5,3670,981513.930555556,996352.833333333,7260,0,4608.5,0,3670,0,519.219595028895,519,20.5186661754518,0.673095238095238,"sa",980247.833333334,2.275,7778.5,4952.5,3899.5,980247.833333334,988216.333333333,7778.5,0,4952.5,0,3899.5,0,3105.08039434256,3155,152.39658567725,0.371357142857143,"uk",903739.763888889,2.275,29578.5,12426.5,14068,903739.763888889,904169.666666667,29578.5,0,12426.5,0,14068,0
"2020-05-10",930.88887157292,880,40.8118086211663,0.570476190476191,"sa",965281.833333333,2.275,11973,7121,6001.5,965281.833333333,993083.916666666,11973,0,7121,0,6001.5,0,866.162553924399,896,40.4593080846798,0.570476190476191,"sa",967653.461419753,2.275,11259.5,6666.5,5658.5,967653.461419753,967661.750000001,11259.5,0,6666.5,0,5658.5,0,825.997145886779,853,37.3855199840523,0.570476190476191,"sa",969151.069444444,2.275,10793,6340.5,5449.5,969151.069444444,993903.416666667,10793,0,6340.5,0,5449.5,0,886.63882347026,912,43.6730665790619,0.570476190476191,"sa",966991.833333334,2.275,11579,6748.5,5814,966991.833333334,980297.583333333,11579,0,6748.5,0,5814,0,2623.11980849458,2607,223.05538530478,0.275571428571428,"uk",891553.013888889,2.275,18453.5,6825.5,9147.5,891553.013888889,892122.75,18453.5,0,6825.5,0,9147.5,0
"2020-05-17",1326.56067040497,1366,69.3803611097573,0.562023809523809,"sa",945745.5,2.275,16927,9938,8536.5,945745.5,989203.916666667,16927,0,9938,0,8536.5,0,1251.09550159436,1256,68.9354603590899,0.562023809523809,"sa",949092.361111111,2.275,16024.5,9409,8069.5,949092.361111111,949355.166666667,16024.5,0,9409,0,8069.5,0,1197.69250302519,1166,64.3842661744563,0.562023809523809,"sa",951375.569444444,2.275,15292,9016.5,7719.5,951375.569444444,990369.833333333,15292,0,9016.5,0,7719.5,0,1275.63867126797,1256,74.5948380949915,0.562023809523809,"sa",948230.726851852,2.275,16230.5,9627,8181.5,948230.726851852,969103.083333333,16230.5,0,9627,0,8181.5,0,1583.5128088364,1620,227.865810163335,0.282857142857143,"uk",884541.430555556,2.275,10567.5,4018.5,5441.5,884541.430555556,885244.25,10567.5,0,4018.5,0,5441.5,0
"2020-05-24",1875.11670397653,1919,105.090017153208,0.568095238095238,"sa",917590.347222221,2.275,24110,14315,12191.5,917590.347222221,983577.166666667,24110,0,14315,0,12191.5,0,1781.58066006176,1806,103.653279438989,0.568095238095238,"sa",922221.527777778,2.275,22871,13628,11592,922221.527777778,922684.833333333,22871,0,13628,0,11592,0,1702.12520885292,1703,97.7334728897001,0.568095238095238,"sa",925569.236111111,2.275,21925,13111,11032,925569.236111111,985289.166666667,21925,0,13111,0,11032,0,1812.4178366835,1853,112.690995247976,0.568095238095238,"sa",920981.226851852,2.275,23364,13852.5,11798,920981.226851852,952956.416666667,23364,0,13852.5,0,11798,0,916.359386938087,927,179.315773191425,0.276642857142857,"uk",881041.347222222,2.275,6085,2279.5,3157,881041.347222222,881790.25,6085,0,2279.5,0,3157,0
