"week","rel.R0"
1,1.15331423557046
2,1.12540902752085
3,1.1309163503998
4,1.13281222659783
5,1.14112955112098
6,1.14190053009137
7,1.14666681444218
8,1.15146075117075
9,1.14485596625934
10,1.13165856302222
11,1.11374220073861
12,1.10759668547559
13,1.10542956848281
14,1.09716936756076
15,1.08727301833437
16,1.06626204634355
17,1.0476774900669
18,1.02121643180329
19,1.00445746971903
20,0.977059304801288
21,0.952509664154689
22,0.928593825949672
23,0.910290018119041
24,0.895761590022277
25,0.880582147994042
26,0.86889812633602
27,0.863976916561551
28,0.857651024785768
29,0.849505736948042
30,0.840586068165116
31,0.838302353296985
32,0.838800639392902
33,0.843345886283768
34,0.851291777405883
35,0.85936279632581
36,0.870779820074239
37,0.880130258057796
38,0.89105862161152
39,0.902946090692552
40,0.916100258050585
41,0.935532248351428
42,0.947135728391096
43,0.96774803046223
44,0.991704973541797
45,1.01868007835538
46,1.04232540095831
47,1.05971963894409
48,1.07710392455021
49,1.09680873573024
50,1.1078055602322
51,1.11232212265329
52,1.1420219025308
53,1.1458453946493
