"date","year","week","case.uk","death.uk","case.sa","death.sa","case.br","death.br","mob.bus.uk","mob.full.uk","mob.bus.sa","mob.full.sa","mob.bus.br","mob.full.br"
2020-01-19,2020,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020-01-26,2020,5,0.0293224536865039,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020-02-02,2020,6,0.161273495275772,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020-02-09,2020,7,0.0733061342162598,0,0,0,0,0,-9,-11.3333333333333,-2.33333333333333,-1.75,3,1.5
2020-02-16,2020,8,0.0733061342162598,0,0,0,0,0,-4.09523809523809,-1.83333333333333,-2.47619047619048,-3.91666666666667,4.42857142857143,1.61904761904762
2020-02-23,2020,9,0.557126620043574,0,0,0,0.00934608102023241,0,-0.238095238095238,-0.726190476190476,2.28571428571429,-0.166666666666667,-11.4047619047619,-5.94047619047619
2020-03-01,2020,10,5.38067025147347,0.0293224536865039,0.0166550098252899,0,0.0514034456112783,0,1.85714285714286,3.02380952380952,6.42857142857143,4.27380952380952,3.97619047619048,0.976190476190476
2020-03-08,2020,11,32.2840215088408,0.395853124767803,0.616235363535728,0,0.644879590396036,0,-1.52380952380952,1.8452380952381,-2.28571428571429,-3.19047619047619,5.73809523809524,2.46428571428571
2020-03-15,2020,12,92.7615822372551,3.26945358604519,3.36431198470857,0,4.0655452438011,0.0700956076517431,-18.9047619047619,-4.08333333333333,-11.7142857142857,-7.27380952380952,-17.3095238095238,-12.0595238095238
2020-03-22,2020,13,262.172058411031,17.7694069340214,15.7722943045496,0.0166550098252899,13.472375790665,0.448611888971156,-58.7380952380952,-31.5595238095238,-32.6904761904762,-17.6904761904762,-57.4761904761905,-40.2738095238095
2020-03-29,2020,14,445.100185734286,55.85927427279,6.6286939104654,0.13324007860232,30.1691495333102,1.56079553037881,-69.3809523809524,-41.2023809523809,-70.2142857142857,-42.9523809523809,-51.3809523809524,-34.5833333333333
2020-04-05,2020,15,471.974214537967,93.567949713634,7.37816935260345,0.266480157204639,48.4454109683747,3.1729945063689,-68.5714285714286,-38.4047619047619,-71.4285714285714,-43.7976190476191,-49.3809523809524,-31.6428571428571
2020-04-12,2020,16,469.848336645695,93.6999007552233,16.7549398842417,0.449685265282829,74.4462083666613,5.74783982744293,-69.2619047619048,-40.0357142857143,-70.3333333333333,-43.1904761904762,-44.4047619047619,-30.0833333333333
2020-04-19,2020,17,481.240109902902,81.8096457853459,22.1011980381598,0.566270334059858,105.919136202294,7.9581879887279,-63.8571428571429,-33.2380952380952,-66.5714285714286,-41.6547619047619,-45.6904761904762,-30.0357142857143
2020-04-26,2020,18,457.870114314759,63.600402046027,32.8936444049476,0.616235363535728,176.52877831015,12.6359015393542,-63.5952380952381,-36.0833333333333,-62.8571428571429,-38.2857142857143,-43,-28.1904761904762
2020-05-03,2020,19,334.759792511972,47.0625381668388,51.3640503011942,1.04926561899327,275.527141516962,18.2014927869026,-61.9047619047619,-30.3928571428571,-47.5952380952381,-27.8690476190476,-35.5714285714286,-21.9047619047619
2020-05-10,2020,20,290.02838941321,37.7966428019035,82.1924734878059,1.24912573689675,361.9269875085,23.3932407936417,-58.9047619047619,-28.3095238095238,-48.8095238095238,-29.4404761904762,-36.3809523809524,-23.952380952381
2020-05-17,2020,21,237.893066758606,26.7567389889348,116.385208659126,2.43163143449233,532.198564575604,29.678480279748,-54.6904761904762,-20.4642857142857,-47.3809523809524,-28.9285714285714,-37.1904761904762,-24.5357142857143
