"date","case.truth","case","death","mob","relR0","wt.suscept","wt.Rtx","newitot","Etot","Itot","S1","S2","newItot1","newItot2","E1","E2","I1","I2"
2020-03-01,0.382646565334034,3,0.00108504863598597,1,"uk",999980.24537037,2.275,10,9,5,999980.24537037,999984.333333333,10,0,9,0,5,0
2020-03-08,3.05772917957711,3,0.0282183782138772,1,"uk",999926.805555556,2.275,32.5,29,17,999926.805555556,999933.083333333,32.5,0,29,0,17,0
2020-03-15,9.7173968878169,5,0.132036223044863,1,"uk",999752.513888889,2.275,110.5,91,57,999752.513888889,999760.083333333,110.5,0,91,0,57,0
2020-03-22,31.126373774599,20,0.455733092813667,0.91,"uk",999285.125,2.275,310.5,251,161,999285.125,999286.75,310.5,0,251,0,161,0
2020-03-29,85.6839280988366,84,1.37963988426161,0.863142857142857,"uk",998094.791666667,2.275,812.5,628.5,421.5,998094.791666667,998109.833333333,812.5,0,628.5,0,421.5,0
2020-04-05,223.239987797648,229,3.74310976317808,0.897857142857143,"uk",994871.657407408,2.275,2153,1704.5,1126.5,994871.657407408,994918.666666666,2153,0,1704.5,0,1126.5,0
2020-04-12,590.320274594724,570,9.80795370083031,0.916714285714286,"uk",986430.782407408,2.275,5717,4456,3028,986430.782407408,986510.833333333,5717,0,4456,0,3028,0
2020-04-19,1544.39007459409,1597,25.6803362707856,0.886285714285714,"uk",966436.708333333,2.275,14062,10449,7303,966436.708333333,966500.416666666,14062,0,10449,0,7303,0
2020-04-26,3517.86182761781,3529,64.522325186971,0.729857142857143,"uk",933664.208333333,2.275,26524,16887.5,13384,933664.208333333,933926.749999999,26524,0,16887.5,0,13384,0
2020-05-03,5632.90196713981,5633,135.916263655511,0.371357142857143,"uk",912498.291666667,2.275,27026,11438,12814,912498.291666667,912806.916666666,27026,0,11438,0,12814,0
2020-05-10,4807.60613774865,4762,205.879744402968,0.275571428571428,"uk",901203.875,2.275,16964,6315.5,8397,901203.875,901597.583333332,16964,0,6315.5,0,8397,0
2020-05-17,2919.85555653224,2826,208.048226637757,0.282857142857143,"uk",894625.375,2.275,9787,3756,5050,894625.375,895180.333333332,9787,0,3756,0,5050,0
2020-05-24,1702.82439842219,1729,165.774613964419,0.276642857142857,"uk",891331.375,2.275,5702,2131.5,2954,891331.375,891899.083333332,5702,0,2131.5,0,2954,0
2020-05-31,993.945140506342,969,114.219096245408,0.325285714285714,"uk",889364.541666667,2.275,3529,1399.5,1822.5,889364.541666667,889956.249999999,3529,0,1399.5,0,1822.5,0
