"date","n.v1","n.v2"
2021-01-24,0,0
2021-01-25,0,0
2021-01-26,0,0
2021-01-27,0,0
2021-01-28,0,0
2021-01-29,0,0
2021-01-30,0,0
2021-01-31,0.523380537133015,0
2021-02-01,4.65902138858586,0
2021-02-02,48.417372725314,0
2021-02-03,79.782820629214,0
2021-02-04,504.576222120307,0
2021-02-05,511.034364105288,0
2021-02-06,1364.04650578139,0
2021-02-07,312.85071607126,0
2021-02-08,448.079162353002,0
2021-02-09,692.89508163748,0
2021-02-10,1313.13372942367,0
2021-02-11,1500.11609935495,0
2021-02-12,962.417366098943,0
2021-02-13,1247.52424066164,9.16850548084799
2021-02-14,573.428800996359,82.7829126367086
2021-02-15,285.52744820861,28.0896465063085
2021-02-16,864.171362414259,37.0478651642013
2021-02-17,1070.84125201466,79.62393725187
2021-02-18,2576.4949043741,140.681884557048
2021-02-19,8.64045190320486,136.013517087442
2021-02-20,1516.47174114036,320.579925074992
2021-02-21,628.911810972969,73.6564645204516
2021-02-22,214.240215226788,110.466004618637
2021-02-23,966.109068101934,316.603167600883
2021-02-24,1322.87234584676,1270.65579118672
2021-02-25,1198.15824071277,776.766812713046
2021-02-26,1215.90177552969,798.706737908042
2021-02-27,1684.48156660057,757.658750067181
2021-02-28,448.495062958403,355.557633293212
2021-03-01,156.065533916351,179.36064085928
2021-03-02,1159.88136589441,574.372755179403
2021-03-03,7.89743846209639,660.795966373492
2021-03-04,733.284170766415,753.99975934776
2021-03-05,736.274916692889,738.681532555599
2021-03-06,541.502588231246,603.700757420892
2021-03-07,287.611624276122,143.621227037911
2021-03-08,183.052342862272,38.5852954920295
2021-03-09,681.296595091372,521.216919376831
2021-03-10,529.030243109745,599.873537243107
2021-03-11,401.755311776221,741.709662806154
2021-03-12,676.254384380956,683.151792173888
2021-03-13,425.559780134752,40.132071900878
2021-03-14,377.544288893308,40.132071900878
2021-03-15,110.18094914752,40.132071900878
2021-03-16,1234.08924919506,40.132071900878
2021-03-17,1438.95067211804,40.132071900878
2021-03-18,1418.88930920811,643.286083582087
2021-03-19,1323.84433827286,656.791170656322
2021-03-20,140.551039422765,280.69085128064
2021-03-21,140.551039422765,54.1558664717367
2021-03-22,140.551039422765,539.198779259758
2021-03-23,140.551039422765,595.5743399738
2021-03-24,140.551039422765,595.5743399738
2021-03-25,1124.8616003116,339.744064206978
2021-03-26,1252.94496765338,288.289215150089
2021-03-27,713.077943600672,68.2170453666764
2021-03-28,228.450931418051,61.2542150066032
2021-03-29,1670.65403973113,532.193891535094
2021-03-30,1242.63624028806,666.492402755324
2021-03-31,1242.63624028806,679.838606452216
2021-04-01,1207.2239393024,571.657718643025
2021-04-02,1218.28502618985,290.793964863511
2021-04-03,602.069866282862,243.568217468277
2021-04-04,326.659550778653,73.3714090493345
2021-04-05,2058.46499862517,217.516016624379
2021-04-06,4439.46325325856,74.4228431641107
2021-04-07,2753.7386578823,582.050560737524
2021-04-08,2293.41612939279,698.012060996057
2021-04-09,1932.62469072825,698.012060996057
2021-04-10,2028.53417415787,216.558043319805
2021-04-11,804.6929028015,84.8624156637103
2021-04-12,1535.66859155592,1094.29991537544
2021-04-13,581.700082699265,1062.80362233726
2021-04-14,3779.86825829616,1305.03535021964
2021-04-15,2752.78535761823,1198.261047604
2021-04-16,2752.78535761823,1183.69050729345
2021-04-17,1297.00706662326,871.863187093911
2021-04-18,444.864110482043,242.110228829121
2021-04-19,3068.56139704883,1240.8978692183
2021-04-20,3095.44539910353,3959.38310949228
2021-04-21,4990.50819021146,1434.5907253221
2021-04-22,2461.67829904054,1273.83813177411
2021-04-23,2340.31943699283,1273.84280481462
2021-04-24,2929.80013214144,1273.84280481462
2021-04-25,657.057533965399,1273.84280481462
2021-04-26,1991.59846196592,1782.80233893341
2021-04-27,11782.823975111,107.895832338073
2021-04-28,2781.63203668718,648.781579221983
2021-04-29,178.421359716747,2539.97509278754
2021-04-30,178.421359716747,4817.14773336717
2021-05-01,178.421359716747,1533.28066785525
2021-05-02,178.421359716747,518.847687838202
2021-05-03,1993.77609884363,2276.29410896373
2021-05-04,134.648989258488,2837.33467956777
2021-05-05,526.525493396323,0
2021-05-06,1975.66339382642,0
2021-05-07,4939.58139473221,0
2021-05-08,1353.80787402373,0
2021-05-09,866.531247871868,0
2021-05-10,2208.72661622795,0
2021-05-11,2685.83003318929,0
